Source,Target,interaction_type,predicate,revision_id
Entbert,83.58.143.235,edit,P735,483742917
83.58.143.235,Jared Preston,edit,P735,483743526
Jared Preston,Tagishsimon,edit,P735,616869073
Tagishsimon,169.139.8.212,edit,P735,682726908
169.139.8.212,Galobtter,edit,P735,682732140
Galobtter,Lieutcoluseng,edit,P735,708679294
Lieutcoluseng,PLbot,edit,P735,1081965774
PLbot,Jock64,edit,P735,2271044026
Jock64,JnpoJuwan,edit,P735,2344063504
BotMultichill,Premeditated,edit,P1006,1204643896
Premeditated,DifoolBot,edit,P1006,2258149702
HCShannon,204.100.220.2,edit,P245,279760295
204.100.220.2,HakanIST,edit,P245,279767750
HakanIST,Jura1,edit,P245,403952606
Jura1,Arch2bot,edit,P245,2062052877
HCShannon,216.186.51.175,edit,P1741,294153360
216.186.51.175,Jared Preston,edit,P1741,294164519
Jura1,187.214.65.233,edit,P1801,225547226
187.214.65.233,Nikki,edit,P1801,225547230
Nikki,Jura1,edit,P1801,314302863
Jura1,Triggerhippie4,edit,P1839,403515972
Jura1,187.214.65.233,edit,P734,225546732
187.214.65.233,Nikki,edit,P734,225546813
Nikki,KrBot,edit,P734,276618503
KrBot,Entbert,edit,P734,433559496
Entbert,83.58.143.235,edit,P734,483742960
83.58.143.235,Jared Preston,edit,P734,483743526
Jared Preston,107.77.204.31,edit,P734,679630209
107.77.204.31,Zaccarias,edit,P734,680007697
Zaccarias,169.139.8.212,edit,P734,682727253
169.139.8.212,Galobtter,edit,P734,682732140
Galobtter,PLbot,edit,P734,1081965727
PLbot,Edward,edit,P734,1543056606
Jura1,189.133.212.97,edit,P1477,224141613
189.133.212.97,Rippitippi,edit,P1477,224141818
Rippitippi,187.189.248.69,edit,P1477,225526934
187.189.248.69,Jura1,edit,P1477,225530768
Jura1,187.214.65.233,edit,P1477,225546053
187.214.65.233,Nikki,edit,P1477,225546081
Nikki,Vlsergey-at-work,delete,P1477,292168701
Jura1,FShbib,edit,P1477,404543126
FShbib,Wylve,edit,P1477,421958814
Wylve,79.144.217.6,edit,P1477,483314655
79.144.217.6,169.139.8.212,edit,P1477,682726623
169.139.8.212,Galobtter,edit,P1477,682732140
Jura1,ShonagonBot,edit,P1412,258334604
ShonagonBot,Koavf,edit,P1412,434711225
Koavf,83.58.143.235,edit,P1412,483741802
