Source,Target,interaction_type,group
MidleadingBot,MidleadingBot,ADDED,taylor_swift
M2k~dewiki,M2k~dewiki,ADDED,taylor_swift
Spinster300,Spinster300,ADDED,taylor_swift
Xdtp,Xdtp,ADDED,taylor_swift
Amadalvarez,Amadalvarez,ADDED,taylor_swift
Keepwishes,Keepwishes,ADDED,taylor_swift
Lolza81,Lolza81,ADDED,taylor_swift
Lolza81,Lolza81,ADDED,taylor_swift
Dux Oppositionis,Dux Oppositionis,ADDED,taylor_swift
Hamuli,Hamuli,ADDED,taylor_swift
Lovelano,Lovelano,ADDED,taylor_swift
Lovelano,Lovelano,ADDED,taylor_swift
INS Pirat,INS Pirat,ADDED,taylor_swift
INS Pirat,INS Pirat,ADDED,taylor_swift
Miikul,Miikul,ADDED,taylor_swift
Gumruch,Gumruch,ADDED,taylor_swift
Gumruch,Gumruch,ADDED,taylor_swift
Gumruch,Gumruch,ADDED,taylor_swift
Gumruch,Gumruch,ADDED,taylor_swift
Joao4669,Joao4669,ADDED,taylor_swift
Shei98,Shei98,ADDED,taylor_swift
Jorgedelatc,Jorgedelatc,ADDED,taylor_swift
Epìdosis,Epìdosis,ADDED,taylor_swift
DinaHerbert,DinaHerbert,ADDED,taylor_swift
Yuriklim,Yuriklim,ADDED,taylor_swift
Ameisenigel,Ameisenigel,ADDED,taylor_swift
KababyZMinsem,KababyZMinsem,ADDED,taylor_swift
Morrelln,Morrelln,ADDED,taylor_swift
Lewis Hulbert,Lewis Hulbert,ADDED,taylor_swift
McMurphy2246,McMurphy2246,ADDED,taylor_swift
McMurphy2246,McMurphy2246,ADDED,taylor_swift
Pyb en résidence,Pyb en résidence,ADDED,taylor_swift
DeltaBot,DeltaBot,ADDED,taylor_swift
Ayack,Ayack,ADDED,taylor_swift
Nvrandow,Nvrandow,ADDED,taylor_swift
Finnius00,Finnius00,ADDED,taylor_swift
Lolnowbu,Dexbot,DELETED,taylor_swift
Lolnowbu,Dexbot,DELETED,taylor_swift
Lolnowbu,SamoaBot,DELETED,taylor_swift
Lolnowbu,SamoaBot,DELETED,taylor_swift
Lolnowbu,VIAFbot,DELETED,taylor_swift
Lolnowbu,Jasper Deng,DELETED,taylor_swift
Dexbot,Lolnowbu,DELETED,taylor_swift
101.100.11.34,PLbot,DELETED,taylor_swift
191.82.52.94,Rschen7754,DELETED,taylor_swift
84.126.41.83,SweetBot,DELETED,taylor_swift
84.126.41.83,KasparBot,DELETED,taylor_swift
Andreasmperu,2003:66:8F4B:C81E:30E2:AE5F:19D0:B1EE,DELETED,taylor_swift
Allen4names,Andreasmperu,DELETED,taylor_swift
Chetankale1978,RobotMichiel1972,DELETED,taylor_swift
187.200.178.56,AmaryllisGardener,DELETED,taylor_swift
Stryn,Thierry Caro,DELETED,taylor_swift
PLbot,ValterVBot,DELETED,taylor_swift
KrBot,Prcondo,DELETED,taylor_swift
176.19.235.3,37.106.132.107,DELETED,taylor_swift
