Source,Target,interaction_type
Andreasmperu,Mewtwowimmer,DELETED
AR.GNV,Moebeus,DELETED
JJMC89,Abdel Rahman Hany Muhamed,DELETED
&beer&love,&beer&love,DELETED
Geraldo Perez,Matixd019,DELETED
Eduardosalg,2001:B07:A14:4338:7C10:8478:CF53:59A1,DELETED
Al-Dandoon,Abdel Rahman Hany Muhamed,DELETED
I'mfeistyincognito,2800:484:4C80:4250:65DE:136F:C5D0:E042,DELETED
Rommeliosva,Ghuron,DELETED
Obsuser,BorkedBot,DELETED
Rommeliosva,I'mfeistyincognito,DELETED
Ontogon,Ontogon,DELETED
Ontogon,Ontogon,DELETED
Soweego bot,Soweego bot,DELETED
FrankDay25,FrankDay25,DELETED
CommonsDelinker,Adrianmartinezuwu,DELETED
Bigbossfarin,Ontogon,DELETED
Brunnaiz,Brunnaiz,DELETED
KrBot,Hamuli,DELETED
Twofivesixbot,Soweego bot,DELETED
Ameisenigel,Pacostein,DELETED
Ameisenigel,Ontogon,DELETED
Ameisenigel,Tinker Bell,DELETED
Epìdosis,Reinheitsgebot,DELETED
McMurphy2246,McMurphy2246,DELETED
Soylacarli,DeltaBot,DELETED
Ontogon,Trivialist,DELETED
Karthikndr,Karthikndr,MODIFIED
Dexbot,Dexbot,MODIFIED
Legobot,J36miles,MODIFIED
RobotMichiel1972,Happy5214,MODIFIED
RobotMichiel1972,RobotMichiel1972,MODIFIED
VIAFbot,VIAFbot,MODIFIED
VIAFbot,VIAFbot,MODIFIED
Legobot,RobotMichiel1972,MODIFIED
Legobot,Legobot,MODIFIED
Legobot,Legobot,MODIFIED
Legobot,Legobot,MODIFIED
107.8.25.56,Legobot,MODIFIED
Stryn,107.8.25.56,MODIFIED
66.229.136.167,Karthikndr,MODIFIED
Jasper Deng,66.229.136.167,MODIFIED
96.32.122.6,Legobot,MODIFIED
96.32.122.6,Legobot,MODIFIED
Faithandmollyrock,96.32.122.6,MODIFIED
Faithandmollyrock,Faithandmollyrock,MODIFIED
Stryn,Faithandmollyrock,MODIFIED
Stryn,96.32.122.6,MODIFIED
SamoaBot,VIAFbot,MODIFIED
SamoaBot,SamoaBot,MODIFIED
SamoaBot,SamoaBot,MODIFIED
SamoaBot,SamoaBot,MODIFIED
SamoaBot,SamoaBot,MODIFIED
